Segment Histogram:
317204 317206 5.17
318522 318532 5.36
319546 319611 10.80
320783 320831 9.70
321214 321262 7.72
321528 321529 5.39
322389 322401 5.93
324166 324190 6.21
324341 324392 5.13
326216 326235 5.33
326662 326716 8.29
327035 327051 5.02
327826 327829 5.91
327981 327982 5.39
328252 328317 8.02
329872 329931 9.26
330209 330234 8.99
331574 331587 5.63
332720 332779 7.31
332900 332961 6.78
333098 333104 6.22
333280 333290 6.36
334633 334638 5.48
334686 334687 5.39
334850 334852 6.13
334968 334976 5.84
336465 336550 5.43
336623 336636 6.62
338156 338158 6.13
339056 339071 6.25
340525 340549 6.21
340860 340915 11.14
341472 341522 7.24
341714 341720 6.22
342353 342381 5.31
343345 343366 5.85
343742 343744 5.17
345881 345883 5.17
346272 346301 5.14
346725 346762 8.25
347530 347589 5.46
347918 347964 6.21
352047 352057 5.37
352705 352727 6.64
355414 355460 6.26
356089 356093 6.65
356572 356579 5.06
356892 356929 6.32
357479 357532 5.75
358257 358262 6.44
358322 358381 9.14
359134 359144 5.36
360465 360489 5.21
361385 361457 6.37
362350 362374 6.22
362427 362447 5.08
362766 362773 5.05
363281 363294 6.62
364494 364514 5.11
365029 365042 5.68
365556 365604 5.82
367564 367568 5.70
367746 367781 5.71
368844 368855 5.14
371080 371082 5.17
374627 374679 5.95
375420 375434 5.45
377579 377580 5.39
377885 377914 6.96
379584 379605 6.86
379721 379777 6.00
380410 380426 5.94
380572 380596 5.30
383280 383282 6.13
383731 383750 5.34
384963 385002 5.81
385254 385260 5.27
387856 387860 6.70
388422 388431 5.62
389818 389827 5.62
390427 390445 5.56
390577 390593 6.02
392439 392456 6.73
392648 392649 5.39
394286 394331 5.52
394530 394545 9.11
395007 395014 6.96
397540 397549 6.58
399849 399863 5.45
400080 400093 6.62
400843 400874 5.57
401069 401085 5.07
401998 402021 5.47
402290 402314 7.13
405812 405814 5.17
406994 407023 5.10
407565 407588 6.38
407954 407963 5.62
408716 408785 9.90
408865 408877 10.76
410602 410640 8.02
410696 410703 6.07
411636 411649 5.76
412209 412215 7.18
412470 412476 5.33
412620 412622 5.17
413675 413693 5.54
414222 414245 5.39
414512 414735 8.46
415422 415424 5.17
416412 416419 6.01
418064 418138 7.72
419221 419275 5.43
421954 421975 5.90
422226 422240 5.42
422933 422938 5.48
423580 423590 5.36
425412 425421 6.53
427003 427019 5.99
427053 427111 10.48
429789 429795 5.31
431669 431753 11.57
435412 435423 5.11
435866 435881 8.10
436729 436813 7.66
439626 439704 7.07
441864 441881 5.76
442179 442190 5.14
444892 444908 5.07
446687 446709 5.70
447776 447807 5.62
448477 448493 5.99
448803 448809 6.22
450454 450464 5.36
452463 452478 7.20
453568 453634 6.89
453677 453688 8.06
454641 454643 5.17
455036 455040 7.71
456201 456222 9.72
456276 456293 5.81
457153 457166 6.67
457709 457743 5.92
458080 458107 6.47
458414 458421 6.96
460546 460585 6.86
460656 460678 6.59
461038 461113 7.69
462076 462099 7.35
463598 463602 6.65
466729 466749 7.02
466911 466937 5.73
467106 467162 7.01
467805 467809 5.70
467929 467933 5.70
467987 467998 6.16
469302 469318 5.02
469649 469657 6.75
469848 469859 6.10
472098 472119 5.85
473245 473248 5.91
474438 474443 5.48
474543 474546 5.91
475668 475681 6.67
476473 476491 5.59
478202 478249 8.04
480175 480184 6.58
481807 481809 5.17
482856 482857 6.39
485020 485031 5.15
485967 485968 5.39
486004 486039 5.76
486830 486865 7.61
487841 487843 5.17
488525 488528 5.91
488754 488755 6.39
488849 488880 7.53
489893 489899 5.31
489956 489966 5.32
492905 492927 5.64
493260 493397 9.61
493476 493478 5.17
494622 494636 6.47
495077 495109 6.41
495562 495568 5.27
495667 495696 5.14
499828 499873 12.24
500644 500668 6.21
500736 500756 5.11
500972 501055 6.86
502005 502032 5.57
502715 502725 5.41
506840 506881 5.45
507202 507203 5.39
507484 507500 5.03
507945 508065 11.27
509175 509185 5.37
509334 509335 5.39
509465 509491 7.61
510114 510132 7.50
510717 510738 6.92
511164 511207 7.85
513290 513296 5.27
514799 514801 5.17
515099 515112 6.62
515753 515809 8.01
519712 519717 5.48
521203 521236 7.09
522794 522801 6.01
525316 525326 8.23
526197 526225 5.30
526388 526408 6.07
526645 526668 5.42
526738 526787 6.52
527286 527300 6.37
527331 527340 6.53
528622 528625 5.91
529622 529639 9.68
530896 530938 6.07
531121 531122 5.39
533239 533251 5.93
533848 533913 8.84
536553 536557 6.70
536908 536910 5.17
537914 537928 6.47
541122 541177 5.26
542307 542318 7.05
543630 543722 6.80
543848 543855 6.01
544526 544533 5.06
544867 544874 5.11
544940 544977 7.23
547516 547521 5.48
547739 547747 7.75
548133 548143 8.27
548515 548521 6.22
549812 549819 8.92
550074 550204 9.30
550425 550430 5.48
551215 551229 7.46
555897 555900 6.87
556196 556214 5.56
558855 558911 6.97
561861 561874 5.67
563523 563555 5.36
564113 564123 5.32
565149 565151 5.17
566496 566510 5.45
567354 567448 14.30
569162 569164 5.17
570543 570544 5.39
573197 573208 5.15
573852 573905 7.65
574164 574174 5.41
574907 574938 5.62
575474 575506 6.31
575962 576052 9.31
577548 577645 9.59
577840 577869 6.12
579628 579629 5.39
580022 580057 6.67
581399 581432 6.18
581957 581967 5.36
582316 582340 5.17
583216 583218 6.13
583376 583379 5.91
585172 585206 6.87
585257 585315 7.57
585845 585855 5.36
586826 586872 5.29
587519 587547 5.35
588911 588954 6.99
589449 589461 7.84
591916 591981 5.02
592158 592186 8.21
594090 594163 7.16
595126 595127 5.39
595754 595761 7.97
596516 596557 5.37
596802 596804 6.18
597643 597692 5.56
599255 599276 6.81
600564 600570 7.23
600861 600904 5.93
601047 601057 5.41
602410 602414 5.70
602619 602630 5.11
604988 605001 5.67
605067 605082 7.15
605341 605428 7.93
605543 605589 6.24
605619 605629 6.36
605872 605875 7.87
606685 606689 5.70
607510 607515 5.48
607920 607922 6.13
608091 608116 5.00
611823 611860 6.37
612881 612918 6.27
613485 613519 6.97
614023 614042 6.30
614085 614108 7.33
614670 614672 5.17
615140 615153 7.63
615385 615445 6.09
615669 615691 9.51
615930 615937 6.01
616250 616303 5.64
616868 616891 5.47
617321 617377 7.92
617434 617473 5.76
618435 618439 5.70
619764 619800 5.45
620471 620472 5.39
621990 622012 5.64
622974 622977 5.91
624769 624797 8.26
625161 625179 5.54
628355 628373 5.59
630690 630718 5.26
632230 632241 6.10
633090 633100 6.36
633495 633533 6.07
636675 636677 5.17
637323 637344 5.87
639552 639582 5.87
640426 640434 5.84
640904 640942 5.07
641229 641233 5.70
644658 644719 5.83
644784 644791 5.05
645721 645757 10.35
646460 646466 5.31
647883 647886 5.91
650740 650763 5.47
650908 650937 5.14
651629 651667 6.97
651895 651901 5.27
652929 652939 5.37
653108 653109 6.39
653438 653443 5.48
653612 653613 5.39
653910 653933 6.38
654228 654235 8.96
654602 654609 6.96
655590 655605 6.24
658058 658064 5.27
658233 658238 5.48
659348 659349 5.39
659686 659727 5.41
659880 659882 5.17
660966 661027 7.87
661473 661478 5.48
662725 662743 5.56
663605 663641 8.41
665993 666008 5.24
666086 666115 5.10
672209 672233 6.26
672364 672402 7.06
672959 672969 6.36
673254 673276 5.69
673598 673621 6.39
674312 674341 8.05
677277 677293 5.02
678625 678658 12.00
680499 680506 6.96
683077 683113 6.60
683611 683613 7.13
684806 684811 5.48
685227 685229 6.18
685773 685806 6.19
686624 686652 6.22
686767 686825 9.43
687613 687682 8.07
689517 689523 5.27
690865 690890 6.95
691737 691744 5.05
693494 693508 6.41
694532 694581 6.60
695023 695060 5.23
697282 697344 6.72
698168 698186 7.50
699113 699115 5.17
699589 699590 5.39
699766 699768 5.17
700481 700512 5.62
700706 700721 5.24
702276 702283 5.05
706350 706364 6.49
706679 706713 6.84
706792 706813 7.81
706975 706991 6.04
707845 707877 6.40
708130 708135 5.48
710621 710654 5.14
711716 711717 5.39
711815 711821 5.27
711983 711987 6.65
712287 712289 5.17
712600 712651 6.08
712931 712933 6.13
713217 713235 5.54
714524 714540 5.03
716215 716224 5.57
716778 716807 8.00
717850 717870 6.07
718012 718038 8.74
719202 719203 5.39
719297 719302 5.48
720588 720655 9.50
720768 720800 5.31
721096 721138 5.19
721847 721853 6.22
722754 722821 5.50
723161 723174 6.62
723903 723929 5.74
724783 724791 8.74
725821 725858 10.19
728025 728040 7.15
728289 728291 5.17
729167 729169 5.17
730575 730579 5.70
732769 732784 6.19
734200 734226 6.73
735340 735402 10.47
735889 735902 5.67
736251 736271 6.07
736571 736711 12.04
738816 738834 6.55
741477 741493 6.98
742667 742698 7.58
744234 744239 5.53
744570 744631 11.74
747738 747760 5.70
748925 748976 6.13
750835 750852 5.76
751653 751683 5.84
751735 751760 5.95
757005 757033 7.26
757894 757897 5.91
760684 760706 8.64
761147 761181 5.93
761315 761335 6.07
762829 762831 5.17
763202 763216 5.51
764050 764115 6.00
765105 765161 5.10
765555 765582 5.51
766798 766848 5.34
767200 767207 5.05
767355 767379 5.21
767612 767631 9.20
767696 767714 7.50
771237 771253 5.02
771484 771554 5.81
772739 772760 8.77
773205 773244 6.85
773780 773782 6.18
774938 774949 5.20
777967 778035 7.23
779596 779678 7.13
779877 779892 8.10
780143 780149 5.27
781541 781551 6.31
783235 783298 9.33
783729 783730 5.39
783914 783925 7.05
784504 784513 5.57
784560 784564 5.70
787646 787654 5.79
787764 787765 5.39
787933 787947 5.50
788367 788383 6.04
788664 788673 5.57
789120 789159 5.81
790517 790544 6.52
793036 793041 5.48
793155 793156 6.39
795128 795159 5.62
795374 795377 5.96
795560 795567 5.05
796224 796243 5.34
796612 796617 5.53
797059 797068 5.57
797774 797787 5.68
797836 797872 5.55
799648 799661 6.67
800592 800613 5.87
800730 800732 5.17
802617 802634 10.62
803184 803188 5.70
807405 807406 5.39
807823 807833 5.42
808980 808995 7.16
809271 809275 5.70
810201 810203 6.13
810662 810667 5.48
811279 811280 5.39
812033 812043 5.36
812542 812566 8.07
813186 813200 5.45
814961 814981 6.08
815871 815902 5.57
817432 817443 6.15
818308 818333 6.95
820278 820350 7.29
820549 820593 5.72
822426 822431 6.49
822929 822933 5.70
823485 823509 7.03
823707 823718 6.10
824737 824811 6.95
826938 826946 5.79
827122 827164 5.19
830103 830114 8.97
831534 831552 9.46
832669 832737 6.28
834095 834112 7.67
835596 835605 6.58
836061 836063 5.17
836286 836287 5.39
837249 837281 10.30
838094 838110 5.03
838306 838320 5.42
839227 839255 6.27
839383 839396 5.67
839525 839539 5.45
839861 839971 8.82
840295 840304 5.57
842913 842924 7.14
843364 843377 6.62
843832 843833 5.39
844844 844861 6.76
848271 848289 5.59
849399 849402 5.91
851763 851764 5.39
851979 852007 6.30
852763 852814 6.08
854355 854375 9.94
855033 855085 6.91
856087 856100 5.72
857919 857952 5.22
858032 858048 5.03
858862 858864 6.13
859415 859455 7.54
859689 859698 5.62
860356 860357 5.39
861015 861028 6.62
862117 862156 5.85
863543 863548 5.48
865389 865404 5.30
866397 866413 6.04
870065 870100 5.75
870213 870229 5.02
871141 871199 7.57
872189 872198 5.57
872598 872632 5.96
873188 873215 10.39
873285 873303 6.55
874363 874366 5.91
875247 875278 5.62
875804 875884 6.56
876638 876654 5.98
878141 878154 6.62
879064 879113 5.61
879835 879857 5.60
880801 880802 5.39
881079 881144 6.03
881716 881785 6.16
882911 882926 5.24
883721 883743 5.73
884308 884319 7.10
885778 885789 6.10
886032 886036 5.70
887614 887620 5.31
887919 887964 5.52
888134 888144 5.36
889775 889812 7.23
890280 890294 5.45
890601 890651 5.34
891756 891761 5.48
893000 893007 6.01
896065 896084 5.24
898394 898411 6.76
898959 898964 7.44
899047 899049 5.17
899232 899239 6.05
899442 899452 6.36
901226 901235 5.57
901295 901339 5.73
902881 902900 6.25
903103 903104 6.39
907209 907227 5.54
908023 908080 6.70
908893 908899 5.27
909538 909543 7.44
910599 910659 6.13
911881 911950 6.97
912867 912909 8.06
914085 914098 5.73
914598 914664 6.67
915898 915921 5.42
917811 917825 5.45
918726 918776 6.30
920357 920367 6.31
920719 920751 5.39
921089 921118 6.04
921545 921556 5.14
921817 921824 5.06
922269 922284 5.24
924794 924805 8.01
925473 925512 5.81
926593 926617 5.27
926814 926834 6.07
927420 927429 6.53
929767 929779 5.90
931969 931990 5.85
932909 932924 5.28
934844 934887 9.84
935278 935286 6.75
936585 936590 5.48
937669 937678 6.53
937852 937871 7.24
938199 938240 9.33
939140 939176 5.53
939865 939885 5.13
939987 939993 5.23
940461 940490 7.06
941791 941842 5.08
942964 942970 5.27
943755 943769 5.46
945973 945985 6.84
947235 947263 7.21
947704 947707 6.92
947862 947869 5.06
949185 949199 7.41
950177 950183 6.22
950888 950914 6.73
952244 952245 5.39
954232 954233 5.39
954700 954711 5.11
955576 955577 5.39
956020 956034 5.51
956156 956167 6.10
956208 956231 5.48
957697 957698 5.39
958159 958170 6.10
958441 958473 7.40
960211 960234 6.43
960558 960560 5.17
961978 961989 5.14
962505 962507 5.17
962826 962863 5.38
963899 963900 5.39
964753 964788 5.66
967439 967477 5.93
967852 967929 6.16
968306 968314 5.84
969039 969073 5.98
970751 970758 6.01
971127 971132 6.49
971225 971236 7.10
972020 972028 5.79
972604 972646 7.11
973768 973806 7.11
974186 974206 7.07
974772 974775 5.91
975007 975008 5.39
976377 976413 5.50
976532 976614 8.10
977413 977423 5.32
977755 977761 5.27
977851 977918 7.60
979031 979054 7.38
980385 980436 5.13
981617 981644 5.51
981684 981706 5.69
982762 982816 6.48
983905 983920 5.24
986096 986107 5.15
986555 986604 9.42
988824 988851 5.57
989245 989252 5.06
989730 989738 5.75
991087 991098 10.05
991716 991722 5.27
993455 993466 5.14
998148 998176 5.26
998251 998262 6.15
998405 998443 6.09
999360 999361 5.39
999891 999896 8.40
1000786 1000802 6.93
1002911 1002918 6.02
1003832 1003860 5.26
1006046 1006051 5.49
1007353 1007355 5.17
1008916 1008957 7.32
1009393 1009410 6.73
1011351 1011359 5.80
1011628 1011640 5.04
1012325 1012333 6.75
1013217 1013222 5.48
1014515 1014523 6.75
1015563 1015660 7.63
1016752 1016793 5.42
1016871 1016877 6.22
1019823 1019829 7.18
1020128 1020132 5.70
1022773 1022782 5.57
1024178 1024202 7.12
1026685 1026686 5.39
1027030 1027049 7.29
1027220 1027250 6.83
1027340 1027362 5.64
1027692 1027693 5.39
1028089 1028093 6.70
1032338 1032371 6.18
1033532 1033541 5.57
1034221 1034273 5.86
1034672 1034685 5.67
1034906 1034925 6.33
1035670 1035732 5.72
1035983 1035988 5.48
1037089 1037112 8.39
1037756 1037758 5.17
1039735 1039745 5.41
1040329 1040343 7.45
1041147 1041176 8.00
1041699 1041703 6.70
1045943 1045945 5.17
1046080 1046113 5.24
1046196 1046198 5.17
1046384 1046434 6.43
1046591 1046622 5.57
1048411 1048461 6.25
1048850 1048901 9.05
1049310 1049312 5.17
1049588 1049593 5.48
1050038 1050040 6.13
1050334 1050380 5.16
1051237 1051260 5.39
1051435 1051446 5.20
1051779 1051788 6.58
1053650 1053656 6.27
1054217 1054244 5.57
1054517 1054531 7.36
1054935 1054937 5.17
1055624 1055630 5.27
1056481 1056491 5.36
1058428 1058436 5.75
1058516 1058520 5.70
1059098 1059113 5.24
1060002 1060011 5.57
1062521 1062535 6.41
1063389 1063409 8.06
1065165 1065170 5.53
1066603 1066629 9.60
1067727 1067754 6.47
1067856 1067887 5.62
1068175 1068179 6.65
1069284 1069381 10.62
1070975 1070995 6.08
1071317 1071395 5.14
1073844 1073845 5.39
1075674 1075676 5.17
1075979 1076010 6.62
1076123 1076137 5.42
1082264 1082315 6.12
1082915 1082920 5.53
1086747 1086764 5.77
1087641 1087682 8.23
1087836 1087921 10.51
1089158 1089163 5.53
1089487 1089494 6.01
1090029 1090086 5.78
1090418 1090435 5.82
1091682 1091760 8.04
1092112 1092135 6.44
1092282 1092324 5.11
1095645 1095647 5.17
1097222 1097251 9.96
1099424 1099433 5.57
1101729 1101732 5.96
1102402 1102417 7.23
1104639 1104670 6.58
1106895 1106898 7.87
1110588 1110626 6.11
1112299 1112303 5.70
1112629 1112661 5.40
1112832 1112883 5.26
1113491 1113500 6.58
1115745 1115776 5.66
1117397 1117401 5.75
1117464 1117484 5.13
1120105 1120138 6.13
1120405 1120414 5.62
1120831 1120859 7.26
1121322 1121359 5.28
1121840 1121846 6.22
1124026 1124028 5.17
1125490 1125499 6.58
1125896 1125906 6.31
1127324 1127350 5.74
1128316 1128344 5.40
1129164 1129165 5.39
1130171 1130203 5.39
1131008 1131055 8.04
1131147 1131157 6.31
1134164 1134176 6.89
1135047 1135081 5.88
1135904 1135912 5.79
1137022 1137029 5.06
1138030 1138034 5.75
1141249 1141284 7.74
1142991 1143002 5.14
1143332 1143366 5.02
1143534 1143535 5.39
1143736 1143768 6.35
1144035 1144069 7.89
1144321 1144323 5.17
1146462 1146488 8.69
1147633 1147634 5.39
1148434 1148470 5.55
1149764 1149775 8.11
1150601 1150625 9.08
1155582 1155621 5.84
1157809 1157829 5.16
1158462 1158463 5.39
1158782 1158811 6.99
1160027 1160039 5.88
1162885 1162911 7.69
1164735 1164765 9.78
1165487 1165488 5.39
1168466 1168494 5.31
1170428 1170481 6.61
1170694 1170720 5.69
1171161 1171162 5.39
1172008 1172009 5.39
1173637 1173658 5.87
1175027 1175030 5.97
1175613 1175634 5.87
1176148 1176156 6.79
1176371 1176452 7.36
1177178 1177202 5.21
1177894 1177908 5.51
1178866 1178894 5.35
1179881 1179893 6.84
1180335 1180341 5.27
1180957 1180990 5.09
1182700 1182714 8.37
1183787 1183816 6.14
1188271 1188277 5.27
1188601 1188639 6.06
1189139 1189194 7.18
1189381 1189396 6.19
1189675 1189684 5.57
1191520 1191556 5.45
1192107 1192135 5.36
1193610 1193612 6.13
1195669 1195711 8.12
1197081 1197083 6.13
1197582 1197656 5.03
1198904 1198934 5.92
1199087 1199128 5.37
1201094 1201096 6.13
1201234 1201247 8.58
1201434 1201483 6.52
1202872 1202874 5.17
1203215 1203218 5.96
1203483 1203489 5.27
1203779 1203816 7.28
1204472 1204564 12.83
1205222 1205293 12.55
1208124 1208131 6.01
1211646 1211669 5.48
1212206 1212233 7.47
1212563 1212565 5.17
1213188 1213203 5.20
1213711 1213814 7.39
1214693 1214711 7.46
1214873 1214874 5.39
1215616 1215645 9.96
1216994 1217008 5.45
1217514 1217528 5.42
1218103 1218154 6.04
1218444 1218448 5.70
1222035 1222048 5.63
1222261 1222328 6.54
1225733 1225765 7.39
1226649 1226704 9.17
1228865 1228875 7.37
1231496 1231497 5.39
1231622 1231680 8.49
1232547 1232624 7.21
1232708 1232737 7.95
1233179 1233190 5.11
1235147 1235166 8.29
1235627 1235637 6.31
1236308 1236317 5.59
1237276 1237288 8.85
1238086 1238099 5.72
1238775 1238827 5.97
1239413 1239462 5.56
1240020 1240062 5.21
1240773 1240779 5.31
1240813 1240815 5.17
1241518 1241524 5.27
1242947 1242948 5.39
1243047 1243061 6.50
1244200 1244204 5.70
1244783 1244791 5.79
1245540 1245554 7.36
1245953 1245960 5.05
1246063 1246098 6.66
1247068 1247070 6.13
1247317 1247329 5.93
1247881 1247928 5.08
1248867 1248879 5.85
1249319 1249322 5.91
1251187 1251206 5.29
1251850 1251866 6.93
1253340 1253379 7.81
1253816 1253827 7.10
1256706 1256734 7.26
1257694 1257695 5.39
1258428 1258434 7.23
1258678 1258701 7.43
1259166 1259167 5.39
1259815 1259839 5.22
1260295 1260314 5.33
1261812 1261820 5.84
1262507 1262527 5.13
1262811 1262843 5.40
1262903 1262939 5.59
1264171 1264223 6.86
1265728 1265732 5.70
1266274 1266285 7.05
1266767 1266789 5.64
1267070 1267145 8.72
1268190 1268211 5.82
1268661 1268669 5.79
1270068 1270072 6.65
1270299 1270306 6.01
1271093 1271103 7.37
1271955 1271988 7.14
1272874 1272890 5.07
1273037 1273043 9.19
1274656 1274670 8.42
1274877 1274933 5.05
1275338 1275346 5.79
1275446 1275457 5.14
1276167 1276200 7.22
1276436 1276446 5.36
1278086 1278091 5.48
1278599 1278600 5.39
1279622 1279624 5.17
1279803 1279830 8.38
1280178 1280197 5.34
1280791 1280794 6.87
1281173 1281177 5.70
1283097 1283143 5.29
1284486 1284525 6.75
1285195 1285243 6.68
1286160 1286200 7.55
1287186 1287279 7.71
1289689 1289691 5.17
1289898 1289902 5.70
1290681 1290743 5.71
1290882 1290902 6.08
1291414 1291428 5.42
1293581 1293600 5.34
1293693 1293722 5.05
1294181 1294196 6.19
1294413 1294414 5.39
1294583 1294606 6.43
1294947 1294961 5.50
1295156 1295181 7.95
1295427 1295430 6.87
1297532 1297560 6.27
1298569 1298590 7.78
1300180 1300189 6.53
1300424 1300448 6.08
1300656 1300669 8.53
1300910 1300931 8.77
1302208 1302228 5.13
1303011 1303013 5.17
1303257 1303263 5.27
1303403 1303412 5.57
1304140 1304173 5.14
1304322 1304328 8.18
1304675 1304682 5.05
1305261 1305288 5.51
1305786 1305912 7.29
1306616 1306625 5.54
1308013 1308054 6.37
1308132 1308161 5.10
1308659 1308681 5.65
1309224 1309317 8.66
1309520 1309548 6.22
1310045 1310055 6.31
1311667 1311674 7.97
1311835 1311870 5.62
1312507 1312528 6.91
1313487 1313491 5.70
1314373 1314381 5.84
1315633 1315634 5.39
1319703 1319709 7.18
1319856 1319956 5.12
1321276 1321279 5.91
1322753 1322782 5.05
1323588 1323610 5.64
1325073 1325082 5.54
1325206 1325228 6.61
1325494 1325499 5.48
1327870 1327921 5.18
1328949 1328951 5.17
1329149 1329152 5.91
1329357 1329375 5.51
1330578 1330603 5.00
1330640 1330654 6.46
1331081 1331121 5.59
1331836 1331851 5.28
1332262 1332273 7.10
1332743 1332759 5.02
1333256 1333274 5.54
1333925 1333934 5.57
1334709 1334803 5.46
