Segment Histogram:
131598 131652 6.43
131719 131775 8.91
131910 131938 6.22
134384 134403 5.34
134504 134520 6.98
135609 135628 10.19
136202 136204 6.18
136688 136693 5.48
139180 139203 7.43
142234 142250 5.02
142674 142696 5.60
142817 142841 6.21
144820 144845 5.00
145557 145564 6.01
146983 147020 8.15
151878 151912 5.93
153529 153541 5.93
156448 156460 6.89
157032 157056 5.17
157546 157548 7.13
158238 158272 6.87
158486 158510 8.12
159101 159108 7.01
160328 160356 6.30
160423 160469 7.25
160719 160731 5.88
165570 165594 6.21
167924 167931 7.01
170485 170519 6.93
174634 174698 5.24
174930 174932 6.13
179829 179881 9.79
181471 181478 6.01
182587 182588 5.39
182768 182811 5.93
182963 182976 13.45
183447 183453 5.23
184187 184189 5.17
185085 185088 12.78
186043 186066 10.29
188414 188419 12.26
192503 192504 5.39
193258 193277 5.29
195009 195022 6.62
195856 195924 13.16
196417 196444 5.56
196527 196549 5.55
197202 197210 7.70
198270 198287 33.00
198587 198597 5.37
199870 199891 5.82
201051 201071 5.08
201171 201173 5.17
201243 201244 6.39
202428 202481 6.66
202536 202538 6.13
204580 204792 11.63
205884 205930 6.26
206055 206066 5.14
207400 207414 5.42
207493 207526 6.10
208737 208783 7.20
209484 209529 9.33
209726 209742 5.94
210396 210409 5.67
210459 210469 5.36
210581 210601 7.07
211753 211755 6.13
211850 211867 5.76
212916 212963 5.94
214830 214847 5.76
215042 215071 5.05
215788 215838 6.30
218019 218032 6.62
218926 218968 5.21
219903 219914 6.01
222619 222641 9.56
222927 222955 6.22
223377 223399 5.60
224830 224840 5.32
227684 227691 5.06
228419 228430 7.05
229559 229641 6.17
229833 229871 5.02
230934 230954 9.98
233758 233815 5.78
235531 235564 6.19
238752 238772 9.05
239614 239638 11.09
239717 239749 6.44
240793 240826 7.10
241900 241914 7.36
244676 244686 10.23
249502 249521 5.38
251013 251078 6.03
251230 251263 5.19
252003 252031 7.36
256131 256145 5.42
258048 258059 5.15
258150 258157 5.06
260050 260063 5.67
260529 260557 7.21
261308 261318 5.37
265514 265529 5.20
269685 269900 10.97
270045 270059 5.51
271791 271793 5.17
274573 274575 5.17
277221 277252 5.57
278475 278480 5.53
281282 281288 6.22
284933 284948 5.20
286758 286762 5.70
289080 289086 5.23
289620 289648 8.18
289945 289983 5.97
294457 294485 10.13
294651 294660 6.54
294751 294760 6.53
295063 295064 5.39
295572 295587 6.16
296736 296768 6.31
298467 298530 7.32
298943 299010 7.51
299855 299881 5.79
304007 304033 6.73
306544 306548 5.70
307127 307176 6.55
307740 307746 5.27
309082 309191 8.91
309459 309472 5.68
310673 310702 8.06
314768 314885 5.23
318657 318680 8.43
319282 319283 5.39
320928 320947 6.28
322124 322140 5.08
325549 325576 6.53
326885 326903 5.54
329273 329277 8.66
332769 332812 5.95
334628 334670 6.25
335256 335271 5.28
336290 336297 5.05
338410 338424 5.45
338905 338938 6.18
339511 339537 6.75
342821 342827 6.22
344164 344180 5.94
346970 346996 8.65
348161 348178 5.77
350728 350752 5.25
353792 353875 6.92
357201 357208 6.01
357752 357769 7.64
358239 358257 8.47
358428 358497 7.08
358986 359044 8.48
360280 360322 5.19
364623 364646 5.34
365267 365282 5.20
365657 365697 5.64
366941 366949 5.79
368265 368275 5.37
370778 370835 5.75
372544 372555 5.14
373244 373283 5.85
374845 374869 7.13
375335 375349 5.45
378608 378649 5.33
379300 379346 5.30
380472 380517 8.42
381186 381191 5.48
385329 385389 5.10
385514 385534 9.07
385953 385972 5.29
386182 386188 5.27
386710 386758 18.42
389992 390015 5.39
393304 393323 5.24
394328 394355 6.52
395066 395093 5.43
395234 395263 6.00
396184 396246 5.62
396355 396381 5.69
396508 396553 7.43
402966 403000 6.88
403039 403081 6.11
405724 405787 7.45
406237 406245 6.79
408682 408712 7.84
412898 412904 6.23
415601 415630 5.10
415735 415776 7.19
415882 415941 6.17
416499 416515 5.03
417487 417511 5.27
418404 418452 10.74
418504 418507 6.92
419085 419093 5.79
420057 420067 5.32
423043 423055 6.84
423718 423733 6.19
424552 424580 5.31
427044 427050 6.22
427315 427348 5.14
427469 427514 7.41
427621 427660 7.72
428448 428478 5.82
429406 429462 8.88
430982 431039 5.89
433029 433063 9.84
433856 433864 7.75
433913 433921 6.79
434126 434140 7.38
434938 434956 8.46
435566 435594 10.14
437305 437317 7.84
437916 437970 8.39
438391 438414 5.48
440179 440230 8.99
442897 442903 5.23
443222 443365 13.33
443735 443764 6.15
443856 443893 11.10
444182 444216 5.96
448739 448744 5.49
449646 449677 11.49
450335 450349 5.42
451091 451114 5.39
453449 453451 5.17
453590 453593 6.92
453746 453760 5.37
455046 455051 5.48
456000 456051 9.90
457597 457728 7.85
458396 458525 232.64
458634 458684 7.29
458922 458937 5.24
458985 459020 5.62
459417 459434 7.68
459627 459638 5.11
459731 459817 5.32
460178 460231 7.56
462124 462139 7.16
463423 463434 17.79
467880 467946 9.71
468161 468273 14.32
468429 468475 5.25
468585 468598 5.68
468642 468660 5.51
469073 469091 5.51
470116 470175 6.27
470639 470641 5.17
472622 472671 5.64
477226 477249 7.33
477338 477344 6.27
478083 478114 5.67
481068 481069 5.39
482971 482998 5.57
483154 483179 5.00
484303 484339 5.50
485615 485659 5.73
485828 485842 6.37
485980 486001 5.91
486851 486900 12.29
489132 489165 5.09
490245 490345 6.08
490817 490820 5.91
491494 491564 6.86
493522 493546 5.21
494280 494282 5.17
494624 494695 6.55
494758 494961 184.01
496904 496911 5.01
497925 497968 11.67
499796 499819 7.38
500687 500710 6.44
501186 501213 5.57
503614 503645 8.52
504163 504188 7.92
504280 504287 7.01
504503 504560 5.83
505078 505096 5.65
505320 505327 6.01
506760 506786 10.59
507107 507114 5.10
521206 521218 5.88
525770 525790 5.13
525947 525975 5.30
526945 527054 7.10
527167 527168 5.39
533900 533922 6.65
534860 534864 5.70
536562 536590 5.26
539741 539756 9.11
541501 541517 5.02
542555 542605 9.25
544397 544430 5.14
548713 548723 6.36
548772 548781 6.53
549956 549981 5.91
551679 551711 5.36
551814 551834 5.03
552434 552442 5.79
556711 556740 5.10
562530 562535 5.48
568366 568404 6.02
570600 570608 5.80
571110 571112 5.17
573566 573593 7.44
574449 574455 5.28
576183 576195 7.79
577402 577410 5.79
577579 577613 9.82
577934 577953 5.29
580608 580618 5.41
581200 581262 5.58
582720 582724 5.70
587501 587524 5.42
587880 587919 7.80
589377 589379 5.17
591370 591401 6.58
591488 591524 8.40
595113 595162 6.47
597496 597500 5.70
597731 597736 6.44
597936 597979 6.89
600198 600210 5.88
600451 600514 5.46
601417 601439 5.70
601805 601817 5.94
604852 604856 5.70
605647 605670 7.43
605757 605767 6.36
605972 605990 5.59
606324 606343 7.34
606776 606787 5.15
613364 613370 5.28
614454 614484 6.79
615149 615166 8.74
617327 617331 5.70
619718 619724 7.18
623667 623672 6.49
624558 624581 5.43
624693 624726 5.22
626137 626165 5.36
626474 626523 6.52
639365 639379 7.38
640106 640110 6.70
642877 642915 7.06
644334 644343 5.62
645132 645134 5.17
647262 647276 5.50
655521 655528 5.06
655628 655629 5.39
655670 655707 5.23
661271 661323 9.73
664676 664686 8.27
670018 670034 6.99
672003 672010 5.05
684542 684546 6.65
688584 688614 5.79
693431 693478 5.94
698912 698924 5.88
700075 700085 5.37
706539 706546 5.06
706866 706888 5.69
708612 708664 7.82
709654 709664 5.32
714560 714571 6.19
719190 719206 5.07
719790 719894 6.12
731123 731147 6.16
732263 732305 5.19
732660 732686 5.74
734346 734347 5.39
738078 738096 5.56
741715 741732 6.76
743489 743577 7.84
745027 745043 7.94
745302 745333 7.58
745597 745616 5.34
746234 746265 10.47
749115 749122 6.01
749256 749258 5.17
749405 749419 5.46
749493 749525 5.39
749564 749570 7.18
750753 750795 5.16
750912 750950 5.07
752960 752972 7.84
755093 755094 5.39
755290 755307 5.76
755841 755871 6.88
755967 755991 5.21
758566 758569 8.88
758892 758916 5.17
759287 759336 8.56
759714 759788 5.99
761102 761110 5.79
765818 765820 5.17
767032 767039 6.01
773373 773390 5.72
778984 779007 8.34
779180 779261 10.42
792587 792609 6.59
802695 802696 5.39
806833 806849 21.63
807455 807469 5.50
810398 810413 5.24
811243 811266 7.33
814468 814512 12.49
814835 814859 5.22
816603 816613 7.32
817308 817341 6.23
817750 817769 5.33
817994 818003 16.31
818679 818893 91.17
819044 819076 5.40
820184 820196 5.88
820506 820558 6.82
820683 820705 5.55
824292 824327 33.90
824382 824399 9.63
825753 825791 5.97
826427 826429 6.13
826635 826640 8.45
826959 826992 6.13
828185 828321 10.00
830009 830014 6.49
830177 830186 7.53
834274 834296 7.60
838895 838917 5.70
839940 839948 5.79
840067 840081 5.45
841214 841215 5.39
846591 846663 57.82
846897 847081 15.87
847136 847165 5.14
847672 847673 5.39
850389 850459 6.77
850613 850614 5.39
850768 850820 11.68
855376 855402 5.69
857292 857318 6.78
857802 857856 8.44
857929 858088 18.38
858348 858390 7.07
858512 858877 56.98
859123 859275 26.87
859403 859425 9.47
859802 859819 8.69
860940 860965 6.96
861255 861289 6.93
862858 862926 5.24
863550 863573 6.44
864490 864497 5.05
864822 864850 5.36
867629 867630 5.39
872916 872944 5.36
873626 873685 6.34
882196 882261 5.97
884207 884241 6.93
887289 887334 7.41
891199 891219 5.13
891422 891455 9.05
892715 892743 5.36
895346 895349 5.91
895511 895513 5.17
906802 906867 7.99
906942 907001 11.19
907374 907376 5.17
909698 909724 5.69
909903 909997 7.32
914582 914623 19.94
916198 916216 5.54
919547 919549 7.13
921116 921145 5.14
924485 924486 5.39
925207 925248 5.37
935057 935058 5.39
935572 935579 6.01
937918 937942 7.17
939660 939671 5.14
940637 940654 5.77
941063 941108 5.42
942153 942231 6.12
942339 942464 13.19
943001 943043 8.98
943373 943374 5.39
943554 943582 5.35
943715 943732 7.72
945212 945216 5.70
945957 945969 6.90
946607 946642 5.71
949310 949363 12.48
949513 949529 5.07
949936 949940 6.70
952797 952842 14.11
953288 953371 20.48
954205 954215 5.41
954918 955058 33.32
955225 955234 5.59
955399 955529 22.76
955901 955944 7.86
956494 956527 5.14
957334 957505 6.15
957623 957643 5.08
959210 959246 5.50
960758 960772 5.42
962119 962126 5.11
963587 963653 6.80
964296 964361 9.03
965928 965949 6.82
966567 966575 8.74
966766 966795 5.05
968176 968189 6.62
968308 968334 5.73
969065 969073 5.79
971949 971960 5.11
974010 974026 8.99
975963 975989 9.55
976405 976436 5.67
976669 976671 6.18
977924 977928 6.70
978192 978196 6.65
983066 983067 5.39
985617 985623 6.27
988954 988956 5.17
989056 989113 8.75
992194 992227 8.06
994763 994773 5.37
995504 995510 5.23
1000718 1000720 5.17
1002690 1002710 5.13
1004322 1004323 5.39
1006134 1006179 5.37
1007505 1007511 5.23
1007913 1007919 5.27
1009444 1009455 6.10
1010801 1010804 6.87
1012805 1012811 5.27
1013176 1013178 5.17
1013415 1013426 6.16
1014094 1014120 5.69
1014147 1014153 6.22
1014433 1014439 5.27
1016211 1016232 5.95
1017110 1017129 5.24
1020900 1020916 5.07
1024655 1024656 5.39
1025065 1025096 6.66
1025283 1025346 22.93
1025550 1025596 8.20
1025986 1026001 5.25
1028499 1028504 7.44
1030051 1030077 9.60
1031488 1031489 5.39
1032514 1032516 5.17
1032890 1032899 5.62
1033558 1033559 5.39
1033997 1034079 5.12
1035552 1035566 5.46
1035688 1035691 5.91
1035856 1035860 5.70
1036176 1036182 5.31
1038084 1038106 6.59
1040568 1040570 5.17
1043617 1043659 10.18
1043893 1043903 6.31
1047395 1047426 5.61
1052847 1052861 6.46
1057425 1057470 5.52
1059540 1059579 5.81
1063470 1063481 7.05
1063689 1063691 5.17
1065020 1065030 5.32
1076903 1076916 5.63
1086151 1086152 5.39
1087680 1087683 5.91
1087814 1087844 7.78
1091038 1091048 5.36
1092796 1092852 8.88
1092952 1093006 7.35
1093075 1093116 8.29
1095064 1095092 5.31
1109387 1109416 8.97
1109701 1109767 6.82
1110470 1110487 6.78
1110985 1110996 5.19
1111143 1111160 6.76
1116219 1116246 6.53
1117746 1117757 7.05
1119778 1119804 7.79
1123446 1123447 5.39
1128556 1128594 5.02
1128991 1128998 5.05
1133359 1133375 5.94
1135541 1135553 6.89
1135853 1135928 7.55
1136001 1136063 6.53
1142807 1142820 8.58
1143412 1143418 5.27
1145353 1145359 6.27
1148305 1148343 6.06
1151107 1151145 6.07
1151205 1151217 5.99
1151999 1152016 6.72
1155081 1155104 5.43
1160159 1160179 7.07
1169798 1169826 5.31
1173429 1173516 6.92
1174720 1174722 7.13
1179719 1179731 5.88
1181055 1181083 11.17
1185654 1185678 5.22
1186781 1186788 6.01
1187812 1187818 5.31
1189144 1189147 5.91
1189390 1189407 15.50
1190248 1190252 5.70
1192656 1192667 5.15
1196503 1196520 7.77
1197951 1198156 6.74
1205399 1205436 5.18
1206612 1206632 5.13
1211199 1211263 5.19
1219974 1219991 6.72
1221772 1221782 5.37
1222023 1222038 5.20
1225655 1225714 6.31
1226244 1226260 5.07
1226338 1226372 5.02
1233263 1233272 5.54
1233580 1233613 5.09
1233752 1233793 13.11
1238616 1238641 6.01
1245253 1245283 5.88
1247121 1247177 6.06
1247251 1247267 5.99
1250761 1250765 5.70
1250929 1250936 9.97
1251326 1251341 5.20
1252061 1252083 5.65
1252221 1252232 5.19
1253522 1253524 6.13
1253837 1253851 5.46
1253928 1253937 7.53
1256985 1257038 5.69
1257536 1257561 7.87
1262435 1262463 7.26
1265650 1265690 5.67
1265775 1265810 6.70
1267169 1267176 5.06
1276049 1276063 5.45
1277369 1277414 5.47
1283479 1283498 5.38
1285066 1285111 8.29
1287577 1287597 5.21
1289896 1289919 5.39
1289969 1290002 5.19
1290611 1290617 7.23
1291639 1291640 5.39
1292039 1292089 9.26
1294324 1294362 9.07
1294499 1294512 5.72
1295013 1295072 6.27
1297268 1297282 5.37
1299096 1299122 6.77
1299717 1299749 6.40
1300074 1300089 6.19
1300156 1300169 6.67
1302661 1302670 7.53
1310492 1310512 9.94
1312973 1312978 6.44
1313397 1313406 5.62
1313499 1313508 9.49
1313968 1313988 6.12
1316654 1316692 6.98
1316841 1316878 5.23
1317125 1317157 6.36
1318572 1318574 5.17
1320171 1320215 5.73
1320295 1320305 7.32
1320373 1320398 5.00
1321764 1321786 5.64
1322237 1322259 9.51
1329456 1329468 5.90
1329730 1329765 5.70
1330194 1330264 5.86
1332024 1332032 5.79
1332706 1332720 6.47
1335110 1335121 8.11
1336224 1336230 5.27
1337973 1338010 7.14
1342460 1342463 5.96
1345925 1345944 5.38
1347282 1347300 5.51
1348644 1348677 5.24
1350169 1350171 5.17
1353182 1353192 7.27
1353904 1353905 5.39
1354586 1354591 8.45
1358483 1358486 5.91
1358665 1358667 6.13
1362540 1362663 9.80
1362725 1362758 6.24
1363122 1363160 7.07
1363308 1363353 5.56
1364316 1364353 5.23
1364464 1364499 5.76
1366890 1366898 5.79
1368027 1368085 8.54
1368600 1368642 7.12
1368794 1368842 8.68
1372893 1372908 5.20
1376580 1376587 6.96
1379876 1379886 5.36
1380352 1380362 7.32
1380514 1380532 9.37
1381083 1381125 6.15
1383114 1383121 6.01
1383264 1383273 6.53
1384754 1384776 6.51
1387460 1387465 6.44
1387787 1387804 6.72
1387877 1387882 5.48
1388798 1388814 6.93
1389599 1389621 5.60
1391461 1391493 7.27
1392054 1392095 5.33
1392244 1392247 5.91
1395581 1395610 5.14
1397347 1397358 5.15
1397407 1397415 6.75
1400413 1400437 5.17
1406501 1406529 5.36
1407691 1407739 9.64
1409779 1409829 6.40
1411063 1411095 5.45
1411209 1411238 6.10
1413223 1413266 27.23
1415788 1415802 7.38
1415969 1416002 8.06
1416055 1416089 7.94
1416883 1416889 5.31
1418252 1418263 5.15
1418329 1418373 5.67
1421168 1421193 7.94
1421954 1421988 6.88
1422537 1422559 5.60
1423404 1423409 7.39
1424122 1424123 6.39
1424587 1424600 5.58
1425545 1425580 8.68
1428862 1428880 6.55
1429119 1429124 5.48
1429893 1429962 8.94
1430115 1430122 6.05
1430627 1430682 5.22
1435589 1435623 5.93
1439731 1439783 5.82
1440164 1440192 6.27
1440279 1440326 7.95
1444402 1444444 5.21
1450549 1450553 5.70
1454330 1454361 5.57
1456921 1456952 7.52
1462366 1462368 5.17
1462653 1462700 13.81
1462765 1462799 5.93
1463758 1463801 9.77
1463945 1463956 8.01
1464083 1464111 6.17
1466703 1466715 6.84
1467118 1467134 5.94
1469004 1469030 7.69
1469362 1469385 5.43
1469500 1469517 5.76
1470160 1470186 5.83
1470449 1470482 6.14
1473446 1473479 6.19
1474085 1474101 6.02
1475730 1475754 6.22
1475816 1475817 5.39
1479418 1479444 5.79
1479617 1479645 7.22
1479771 1479781 7.37
1480076 1480083 5.06
1480599 1480625 6.65
1480990 1481023 8.04
1488738 1488776 5.02
1489916 1489954 7.92
1490431 1490467 5.55
1490860 1490882 6.61
1491549 1491566 7.67
1498580 1498587 7.01
1498723 1498741 8.46
1501862 1501873 7.10
1501971 1502006 7.72
1504420 1504438 10.42
1504614 1504630 5.99
1508242 1508243 6.39
1511763 1511778 5.20
1513330 1513335 5.48
1516118 1516178 18.61
1516302 1516336 6.92
1516757 1516771 7.38
1516880 1516900 6.08
1517349 1517455 5.74
1517524 1517557 6.14
1519097 1519103 6.28
1519223 1519234 5.15
1521905 1521949 7.64
1523653 1523654 5.39
1526903 1526910 5.01
1528091 1528095 5.70
1528982 1529028 5.25
1533109 1533146 7.24
1536293 1536308 7.21
1537030 1537039 5.54
1541726 1541735 5.57
1542823 1542824 5.39
1543880 1543930 5.34
1545443 1545492 6.59
1547083 1547118 6.70
1547405 1547432 5.57
1547559 1547561 5.17
1550615 1550630 5.24
1550893 1550931 7.10
1554375 1554421 6.21
1557797 1557861 12.05
1558955 1558985 7.75
1559253 1559282 6.05
1563712 1563735 6.44
1565667 1565683 5.03
1569112 1569114 5.17
1571549 1571571 5.65
1571808 1571814 5.27
1572739 1572802 6.41
1573412 1573420 6.75
1573841 1573874 5.22
1574940 1574998 6.49
1575606 1575720 7.92
1578278 1578308 6.79
1579090 1579107 7.72
1579528 1579559 5.57
1579963 1579964 5.39
1585754 1585770 5.07
1590199 1590213 11.27
1592200 1592218 7.46
1594126 1594133 5.06
1594339 1594369 5.84
1594477 1594502 5.00
1594974 1594997 5.42
1595590 1595613 5.39
1595924 1595964 5.64
1601231 1601265 8.83
1601849 1601864 5.20
1602945 1602964 8.24
1604820 1604835 5.20
1606978 1606984 5.27
1607939 1607969 7.80
1608838 1608866 6.22
1609134 1609209 7.60
1609980 1609996 6.93
1611489 1611494 6.44
1611697 1611720 5.47
1613121 1613151 6.74
1615447 1615460 6.67
1615836 1615858 6.64
1616963 1617001 5.11
1617673 1617689 6.99
1617715 1617739 5.22
1617844 1617938 6.42
1619020 1619052 8.34
1619233 1619273 6.59
1621198 1621225 6.52
1622751 1622755 8.61
1631477 1631497 5.13
1633767 1633768 6.39
1640387 1640389 5.17
1640477 1640496 6.25
1642723 1642775 5.82
1644303 1644326 6.34
1644574 1644584 5.36
1646586 1646600 5.45
1648170 1648205 6.67
1649679 1649690 6.16
1651586 1651607 5.87
1651718 1651739 6.86
1653067 1653072 6.44
1656755 1656759 5.70
1658035 1658075 7.54
1660033 1660039 5.33
1662909 1662910 5.39
1667152 1667166 5.45
1669973 1669980 5.01
1672541 1672615 5.99
1673961 1673982 5.87
1675554 1675594 5.59
1675891 1675905 5.45
1676440 1676461 6.81
1676561 1676575 5.45
1676675 1676707 5.36
1678893 1678916 5.39
1679420 1679440 5.13
1681816 1681818 5.17
1684908 1684946 10.92
1685203 1685239 6.54
1685826 1685876 5.39
1687278 1687285 6.96
1687722 1687803 6.39
1687984 1688000 6.99
1688194 1688210 8.89
1689620 1689638 6.50
1690995 1691016 6.91
1691178 1691201 5.39
1691991 1692050 7.31
1693248 1693304 8.78
1694196 1694198 5.17
1694839 1694849 5.37
1695392 1695411 13.11
1695700 1695758 5.53
1696521 1696530 5.54
1697034 1697053 5.29
1700676 1700698 6.64
1701316 1701364 8.68
1702034 1702086 5.86
1702203 1702258 6.27
1702867 1702904 8.14
1707466 1707477 7.10
1707855 1707892 7.24
1708783 1708798 5.20
1709508 1709541 5.14
1710005 1710027 8.51
1710647 1710702 5.22
1710750 1710817 10.33
1710868 1710883 5.34
1714817 1714846 6.05
1715727 1715745 5.54
1717236 1717239 10.82
1717624 1717675 5.22
1718182 1718188 5.31
1719669 1719673 6.70
1720777 1720811 5.83
1721191 1721215 6.17
1722573 1722577 5.70
1723003 1723036 6.23
1724000 1724081 9.35
1729717 1729718 5.39
1730043 1730060 29.10
1730826 1730842 6.04
1733482 1733484 5.17
1743872 1743879 6.01
1745498 1745527 5.14
1748486 1748488 5.17
1749813 1749841 5.26
1751009 1751012 5.02
1751275 1751313 5.07
1752049 1752056 6.01
1752104 1752157 5.70
1752281 1752342 6.84
1754329 1754344 5.20
1754755 1754798 9.81
1755845 1755874 7.04
1760637 1760639 5.17
1763179 1763186 6.01
1763443 1763444 5.39
1772113 1772120 5.06
1773830 1773846 5.99
1775084 1775085 5.39
1777890 1777893 5.91
1779693 1779705 6.89
1780016 1780030 5.45
1781930 1781956 5.74
1783782 1783814 7.35
1785580 1785594 5.46
1785982 1786002 7.07
1793683 1793684 5.39
1794174 1794193 8.30
1794301 1794303 5.17
1794830 1794831 5.39
1796635 1796636 5.39
1799192 1799202 6.31
1799673 1799684 5.14
1799795 1799805 5.37
1800933 1800953 5.13
1801462 1801465 5.91
1802007 1802099 6.93
1802147 1802154 6.01
1802930 1802946 6.98
1803375 1803384 5.54
1805681 1805695 6.41
1805915 1805935 7.07
1806417 1806504 6.11
1806568 1806608 7.55
1808006 1808035 5.10
1808262 1808298 7.41
1808388 1808424 5.55
1810509 1810528 6.34
1811619 1811638 6.38
1812505 1812557 7.91
1814195 1814220 5.91
1814284 1814346 7.57
1814470 1814508 8.93
1815667 1815702 8.58
1817330 1817339 5.57
1818258 1818267 7.53
1820618 1820648 8.74
1821920 1821945 5.86
1823714 1823757 11.80
1823858 1823868 5.27
1824218 1824220 6.13
1827475 1827504 7.09
1828275 1828288 9.59
1828370 1828406 7.41
1829346 1829398 5.87
1830368 1830400 5.36
1830654 1830697 10.85
1832008 1832017 6.53
1832919 1832947 6.32
1834186 1834218 5.31
1836784 1836785 6.39
1842026 1842073 7.94
1842188 1842197 7.49
1842318 1842351 6.10
1842624 1842684 9.09
1842906 1842929 5.43
1843816 1843830 6.41
1844205 1844216 6.10
1845728 1845735 7.01
1845846 1845918 7.48
1846030 1846031 6.39
1847429 1847435 7.23
1847858 1847878 5.16
1848082 1848118 6.40
1848278 1848309 5.62
1848519 1848539 19.72
1850485 1850525 6.62
1851174 1851175 5.39
1851588 1851619 6.58
1851683 1851739 6.01
1854329 1854335 5.28
1855559 1855601 5.16
1856757 1856761 5.70
1857547 1857555 5.79
1858483 1858612 7.42
1858655 1858742 18.85
1858812 1858813 5.39
1859317 1859346 5.05
1859441 1859452 5.15
1861353 1861408 5.22
1861527 1861538 6.10
1861848 1861880 5.31
1863152 1863196 5.77
1863726 1863763 7.29
1865428 1865442 7.38
1865491 1865493 5.17
1865528 1865529 5.39
1865631 1865633 5.17
1867449 1867461 10.75
1871612 1871726 8.96
1873724 1873754 5.84
1874158 1874168 5.36
1875545 1875618 6.17
1875723 1875755 7.32
1876888 1876902 6.46
1877957 1877961 6.65
1878573 1878584 5.11
1879153 1879163 5.36
1880945 1880957 7.89
1883995 1884086 7.10
1884771 1884791 5.13
1885004 1885017 5.58
1885063 1885158 7.19
1885447 1885479 6.31
1885843 1885847 5.70
1886161 1886231 7.72
1890374 1890496 8.07
1892357 1892366 6.53
1893802 1893842 5.54
1895090 1895101 11.97
1895918 1895945 8.44
1901133 1901162 5.05
1901727 1901783 6.97
1902320 1902322 5.17
1904743 1904803 5.05
1907243 1907283 8.54
1908855 1908860 5.48
1909580 1909621 6.38
1910859 1910870 9.06
1911347 1911349 6.13
1911541 1911557 5.98
1912247 1912256 6.53
1912968 1912974 5.27
1913470 1913499 5.05
1916190 1916198 5.79
1920059 1920358 63.56
1921082 1921118 9.36
1922535 1922544 5.57
1922982 1922987 5.48
1926044 1926045 5.39
1927773 1927785 7.86
1928434 1928442 5.80
1930833 1930925 7.79
1931454 1931508 9.31
1934076 1934085 8.44
1935204 1935239 6.70
1936503 1936571 10.21
1936781 1936793 8.80
1937309 1937327 5.51
1937947 1937954 6.01
1938963 1938970 5.01
1940542 1940592 5.34
1941267 1941289 5.69
1943260 1943268 5.84
1944047 1944053 5.28
1944204 1944241 7.23
1944542 1944554 7.86
1946501 1946505 5.70
1949127 1949148 6.77
1949236 1949253 30.19
1952449 1952481 5.36
1953275 1953277 5.17
1955936 1955938 5.17
1956032 1956161 11.28
1956343 1956354 7.10
1957106 1957121 5.24
1957249 1957256 6.96
1959183 1959184 5.39
1961406 1961412 5.27
1962111 1962116 5.48
1965672 1965673 5.39
1967200 1967225 6.90
1969192 1969193 5.39
1970266 1970284 5.59
1971517 1971522 5.48
1979552 1979573 6.91
1982179 1982197 5.54
1982420 1982424 5.70
1985373 1985433 8.10
1985552 1985574 8.55
1986235 1986291 5.01
1988390 1988395 5.49
1995923 1995946 5.39
1996670 1996686 6.93
1996753 1996763 6.36
1996861 1996941 5.52
1997322 1997332 6.31
1999877 1999879 5.17
2002109 2002139 5.84
2003327 2003348 7.78
